Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Nex Machina: Death Machine,2017.0,Housemarque,Action;Shooter;Shoot-'Em-Up;Top-Down,PlayStation4,88.0,8.1,not specified
Nioh,2017.0,TeamNinja,Role-Playing;Action RPG,PlayStation4,88.0,8.5,2 
Guacamelee! Super Turbo Championship Edition,2014.0,DrinkBoxStudios,Action;Platformer;2D,PlayStation4,87.0,7.7,not specified
Middle-earth: Shadow of Mordor,2014.0,MonolithProductions,Fantasy;Action Adventure;Fantasy;Open-World,XboxOne,87.0,8.0,No Online Multiplayer
Final Fantasy XIV: Stormblood,2017.0,SquareEnix,Role-Playing;Massively Multiplayer,PC,87.0,7.0,not specified
Bloodborne: The Old Hunters,2015.0,FromSoftware,Role-Playing;Action RPG,PlayStation4,87.0,9.3,not specified
XCOM 2,2016.0,FiraxisGames,Strategy;Turn-Based;General;Tactics,PlayStation4,87.0,7.3,2 
Injustice 2,2017.0,NetherRealmStudios,Action;Fighting;2D,PlayStation4,87.0,8.2,2 
The Witness,2016.0,"Thekla,Inc",Miscellaneous;General;General;Puzzle;Puzzle;Adventure;3D;First-Person,PlayStation4,87.0,7.1,not specified
DOOM,2016.0,idSoftware,Sci-Fi;Action;Shooter;First-Person;Third-Person;Arcade,XboxOne,87.0,8.4,Up to 12 
Oddworld: Abe's Oddysee - New 'n' Tasty,2015.0,JustAddWater,Action;Platformer;Platformer;2D;2D,PC,87.0,7.8,No Online Multiplayer
Battlefield 1,2016.0,EADICE,Action;General;Shooter;First-Person;Tactical,XboxOne,87.0,7.7,Up to 64 
Dark Souls III,2016.0,FromSoftware,Role-Playing;Action RPG,XboxOne,87.0,8.7,Up to 6 
Guacamelee!,2013.0,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PlayStationVita,87.0,8.3,not specified
Steins;Gate,2014.0,M2,First-Person;Modern;Adventure;General;Visual Novel,PC,87.0,8.8,No Online Multiplayer
Night in the Woods,2017.0,InfiniteFall,Fantasy;Action Adventure;Adventure;General,PlayStation4,87.0,7.2,not specified
Crypt of the NecroDancer,2015.0,BraceYourselfGames,Action;Role-Playing;General;Action RPG,PC,87.0,7.8,not specified
The Swapper,2013.0,FacepalmGames,Action;Platformer;Platformer;2D;2D,PC,87.0,8.7,No Online Multiplayer
Year Walk,2014.0,Simogo,Miscellaneous;Adventure;General;3D;First-Person;Modern,PC,87.0,7.0,not specified
Batman: Arkham Knight,2015.0,RocksteadyStudios,General;Fantasy;Action Adventure;Open-World,PlayStation4,87.0,7.8,No Online Multiplayer
Mario Kart 8 DLC Pack 1,2014.0,Nintendo,Driving;Racing;Arcade;Kart;Automobile,WiiU,87.0,9.0,not specified
Max Payne 3,2012.0,RockstarStudios,Action;Shooter;Shooter;Third-Person;Modern;Modern;Arcade,PC,87.0,7.7,not specified
Okami HD,2017.0,Capcom,Action Adventure;General,PlayStation4,87.0,8.3,not specified
TowerFall Ascension,2014.0,MattThorson,Action;General,PC,87.0,6.7,No Online Multiplayer
Hollow Knight,2017.0,TeamCherry,Action Adventure;General,PC,87.0,8.8,No Online Multiplayer
Rayman Legends,2013.0,UbisoftMontpellier,Action;Platformer;Platformer;2D;2D,PlayStationVita,87.0,8.4,2 
Battlefield 3: Armored Kill,2012.0,EADICE,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern;Arcade,PC,87.0,7.1,not specified
Forza Motorsport 6,2015.0,Turn10,Driving;GT / Street;Racing;Simulation;Automobile,XboxOne,87.0,7.7,Up to 24 
The Witness,2016.0,"Thekla,Inc",Miscellaneous;Puzzle;General;General;Puzzle;Puzzle;Adventure;3D;First-Person,PC,87.0,6.9,No Online Multiplayer
TowerFall Ascension,2014.0,MattThorson,Action;General,PlayStation4,87.0,7.0,not specified
Tearaway,2013.0,MediaMolecule,General;Adventure;General,PlayStationVita,87.0,8.9,not specified
Skylanders SuperChargers,2015.0,VicariousVisions,Action;Platformer;3D,WiiU,87.0,5.7,not specified
Rocket League,2016.0,"Psyonix,PanicButton",Sports;Team;Soccer;Arcade,XboxOne,87.0,8.3,not specified
FIFA 14,2013.0,EACanada,Sports;Traditional;Team;Soccer;Sim;Sim,PlayStation4,87.0,6.3,Up to 22 
SteamWorld Heist,2016.0,Image&Form,Strategy;Turn-Based;General,WiiU,87.0,7.9,not specified
Raw Data,2017.0,Survios,Action;Shooter;First-Person;Arcade,PC,87.0,6.6,Online Multiplayer
Wolfenstein II: The New Colossus,2017.0,MachineGames,Action;Shooter;First-Person;Arcade,PlayStation4,87.0,7.5,No Online Multiplayer
Diablo III: Reaper of Souls,2014.0,BlizzardEntertainment,Action RPG;Role-Playing;Action RPG,PC,87.0,6.6,not specified
Pro Evolution Soccer 2017,2016.0,Konami,Sports;Team;Soccer;Sim,XboxOne,87.0,6.0,not specified
Pro Evolution Soccer 2016,2015.0,Konami,Sports;Team;Soccer;Sim,PlayStation4,87.0,7.2,Up to 22 
Titanfall 2,2016.0,RespawnEntertainment,Action;Shooter;First-Person;Arcade,XboxOne,87.0,8.2,Up to 16 
Zero Escape: The Nonary Games,2017.0,SpikeChunsoft,Miscellaneous;Compilation,PlayStation4,87.0,8.0,No Online Multiplayer
Odin Sphere Leifthrasir,2016.0,Vanillaware,Role-Playing;Action RPG,PlayStation4,87.0,8.3,No Online Multiplayer
Divinity: Original Sin,2014.0,LarianStudios,Action RPG;Role-Playing;Action RPG;Western-Style,PC,87.0,8.7,2 
Destiny 2,2017.0,Bungie,Action;Shooter;First-Person;Arcade,XboxOne,87.0,4.2,Up to 16 
Forza Horizon 3: Blizzard Mountain,2016.0,PlaygroundGames,Racing;Simulation;Automobile,XboxOne,87.0,7.6,not specified
Dark Souls II: Scholar of the First Sin,2015.0,FromSoftware,Role-Playing;Action RPG,PlayStation4,87.0,8.0,Up to 6 
INSIDE,2016.0,PLAYDEAD,Action;Platformer;2D,PC,87.0,8.6,No Online Multiplayer
Europa Universalis IV,2013.0,ParadoxDevelopmentStudio,Strategy;Real-Time;Historic;General;Historic,PC,87.0,8.7,Online Multiplayer
XCOM 2,2016.0,FiraxisGames,Strategy;Turn-Based;General;Tactics,XboxOne,87.0,7.6,2 
NBA 2K16,2015.0,VisualConcepts,Action;General;Sports;Team;Basketball;Sim,PlayStation4,87.0,6.7,Up to 10 
Pikmin 3,2013.0,Nintendo,Strategy;Real-Time;Fantasy;General;Fantasy,WiiU,87.0,8.7,1-2 
Velocity Ultra,2013.0,FuturLab,Action;General;Shooter;Scrolling;Shoot-'Em-Up;Vertical,PlayStationVita,87.0,7.9,not specified
Total War: WARHAMMER II,2017.0,CreativeAssembly,Strategy;Real-Time;Tactics,PC,87.0,7.5,not specified
Forza Horizon 3: Hot Wheels,2017.0,PlaygroundGames,Racing;Simulation;Automobile,XboxOne,87.0,7.4,not specified
