Title,Year,Platform,Metascore,Avg_Userscore
DiRT Rally,2016.0,PlayStation4,85.0,8.0
Crypt of the NecroDancer,2016.0,PlayStation4,85.0,6.7
OlliOlli2: Welcome to Olliwood,2015.0,PlayStationVita,85.0,7.0
Legend of Grimrock II,2014.0,PC,85.0,8.1
Dragon Age: Inquisition,2014.0,PC,85.0,5.9
Tales from the Borderlands: A Telltale Game Series,2015.0,PC,85.0,8.5
Hearthstone: Whispers of the Old Gods,2016.0,PC,85.0,5.4
Firewatch,2016.0,XboxOne,85.0,4.3
Battlefield 4,2013.0,PlayStation4,85.0,7.0
Mass Effect 3: Special Edition,2012.0,WiiU,85.0,7.6
BlazBlue: Chrono Phantasma Extend,2016.0,PC,85.0,7.8
Pillars of Eternity: Complete Edition,2017.0,PlayStation4,85.0,7.7
DOOM,2016.0,PlayStation4,85.0,8.3
Paradigm,2017.0,PC,85.0,7.3
NBA 2K14,2013.0,PlayStation4,85.0,6.5
Battlerite,2017.0,PC,85.0,7.5
Batman: Arkham Knight,2015.0,XboxOne,85.0,6.7
Assassin's Creed III,2012.0,WiiU,85.0,7.2
Life is Strange,2015.0,PlayStation4,85.0,8.6
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013.0,PC,85.0,8.2
Hotline Miami,2012.0,PC,85.0,8.6
Nioh: Bloodshed's End,2017.0,PlayStation4,85.0,6.7
Out of the Park Baseball 13,2012.0,PC,85.0,8.2
Rocket League,2015.0,PlayStation4,85.0,8.6
The Binding of Isaac: Afterbirth,2015.0,PC,85.0,8.2
Hotline Miami,2013.0,PlayStationVita,85.0,8.4
Chaos Reborn,2015.0,PC,85.0,8.3
Assassin's Creed Origins,2017.0,XboxOne,85.0,7.5
Final Fantasy IX,2017.0,PlayStation4,85.0,8.3
Rogue Legacy,2014.0,PlayStationVita,85.0,7.8
Dust: An Elysian Tail,2013.0,PC,85.0,8.5
South Park: The Stick of Truth,2014.0,PC,85.0,8.6
Dragon Age: Inquisition,2014.0,XboxOne,85.0,7.0
Dark Souls: Prepare to Die Edition,2012.0,PC,85.0,7.6
NBA 2K13,2012.0,WiiU,85.0,7.1
Shadow Tactics: Blades of the Shogun,2016.0,PC,85.0,8.5
SUPERHOT VR,2016.0,PC,85.0,6.8
Pro Evolution Soccer 2017,2016.0,PlayStation4,85.0,7.4
Resogun: Defenders,2015.0,PlayStation4,85.0,7.1
Shovel Knight,2014.0,PC,85.0,8.0
DmC: Devil May Cry,2013.0,PC,85.0,6.8
Assetto Corsa,2014.0,PC,85.0,8.4
Ys VIII: Lacrimosa of DANA,2017.0,PlayStation4,85.0,8.3
F1 2016,2016.0,XboxOne,85.0,7.8
Valkyria Chronicles,2014.0,PC,85.0,8.2
Zenzizenzic,2015.0,PC,85.0,6.1
Galactic Civilizations III: Crusade,2017.0,PC,85.0,6.7
The Wolf Among Us: Episode 1 - Faith,2013.0,PC,85.0,8.9
SteamWorld Dig 2,2017.0,PC,85.0,8.4
Sine Mora,2012.0,PlayStationVita,85.0,7.2
Mega Man Legacy Collection,2015.0,PC,85.0,7.5
The Walking Dead: Episode 3 - Long Road Ahead,2012.0,PC,85.0,8.4
Thumper,2016.0,PC,85.0,7.7
Yakuza 0,2017.0,PlayStation4,85.0,8.9
MLB The Show 17,2017.0,PlayStation4,85.0,6.9
BattleBlock Theater,2014.0,PC,85.0,8.0
Destiny 2,2017.0,PlayStation4,85.0,4.9
Halo: The Master Chief Collection,2014.0,XboxOne,85.0,7.4
Assault Android Cactus,2016.0,PlayStation4,85.0,6.7
Darksiders II,2012.0,WiiU,85.0,8.2
Super Mega Baseball,2014.0,PlayStation4,85.0,7.3
Pro Evolution Soccer 2016,2015.0,XboxOne,85.0,6.2
Rogue Legacy,2013.0,PC,85.0,7.9
Rogue Legacy,2014.0,PlayStation4,85.0,7.7
Football Manager 2014,2013.0,PC,85.0,5.6
System Shock: Enhanced Edition,2015.0,PC,85.0,8.5
Wipeout: Omega Collection,2017.0,PlayStation4,85.0,8.7
Mortal Kombat XL,2016.0,PlayStation4,85.0,7.8
Sid Meier's Civilization V: Brave New World,2013.0,PC,85.0,8.6
Geometry Wars 3: Dimensions,2014.0,PlayStation4,85.0,7.5
Ratchet & Clank,2016.0,PlayStation4,85.0,8.6
MLB The Show 16,2016.0,PlayStation4,85.0,7.2
Mortal Kombat,2012.0,PlayStationVita,85.0,7.9
The Last Door: Season 2,2016.0,PC,85.0,7.1
Far Cry 4,2014.0,PlayStation4,85.0,7.7
Batman: Arkham City - Armored Edition,2012.0,WiiU,85.0,8.4
Chime Sharp,2016.0,PC,85.0,4.8
Shantae and the Pirate's Curse,2014.0,WiiU,85.0,8.7
Trials Evolution: Gold Edition,2013.0,PC,85.0,6.8
Terraria,2013.0,PlayStationVita,85.0,8.0
Tomb Raider: Definitive Edition,2014.0,PlayStation4,85.0,8.1
Starcraft Remastered,2017.0,PC,85.0,7.6
NBA 2K18,2017.0,XboxOne,85.0,1.6
Shadow Tactics: Blades of the Shogun,2017.0,PlayStation4,85.0,8.1
Planescape: Torment - Enhanced Edition,2017.0,PC,85.0,6.7
Super Meat Boy,2015.0,PlayStation4,85.0,6.9
Pyre,2017.0,PlayStation4,85.0,8.0
FIFA 17,2016.0,PlayStation4,85.0,4.9
"Papers, Please",2013.0,PC,85.0,8.5
DOOM,2016.0,PC,85.0,8.4
DiRT 4,2017.0,PlayStation4,85.0,7.5
Gone Home: Console Edition,2016.0,PlayStation4,85.0,4.5
The Walking Dead: Episode 2 - Starved for Help,2012.0,PC,84.0,8.6
Project CARS 2,2017.0,XboxOne,84.0,5.6
Statik,2017.0,PlayStation4,84.0,7.9
Valkyria Chronicles Remastered,2016.0,PlayStation4,84.0,8.3
Kingdom Hearts HD I.5 + II.5 Remix,2017.0,PlayStation4,84.0,8.6
Rare Replay,2015.0,XboxOne,84.0,8.0
Middle-earth: Shadow of Mordor,2014.0,PC,84.0,7.9
Middle-earth: Shadow of Mordor,2014.0,PlayStation4,84.0,8.1
Freedom Planet,2015.0,WiiU,84.0,8.5
Pinball FX 2,2012.0,PC,84.0,8.1
South Park: The Fractured But Whole,2017.0,XboxOne,84.0,7.6
PlanetSide 2,2012.0,PC,84.0,7.0
Planet Coaster,2016.0,PC,84.0,7.7
Guilty Gear Xrd -SIGN-,2014.0,PlayStation4,84.0,8.0
TxK,2014.0,PlayStationVita,84.0,7.2
FIFA 17,2016.0,XboxOne,84.0,5.2
Rakuen,2017.0,PC,84.0,8.3
BioShock: The Collection,2016.0,XboxOne,84.0,8.6
BlazBlue: Central Fiction,2016.0,PlayStation4,84.0,7.8
Prey,2017.0,XboxOne,84.0,7.8
Sound Shapes,2012.0,PlayStationVita,84.0,7.8
Hearthstone: Goblins Vs. Gnomes,2014.0,PC,84.0,6.2
Salt and Sanctuary,2016.0,PlayStation4,84.0,8.2
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014.0,PC,84.0,8.4
Steins;Gate 0,2016.0,PlayStationVita,84.0,8.8
Gears of War 4,2016.0,XboxOne,84.0,6.9
Halo 5: Guardians,2015.0,XboxOne,84.0,6.5
Darkest Dungeon,2016.0,PC,84.0,7.8
F1 2017,2017.0,XboxOne,84.0,6.9
Day of the Tentacle Remastered,2016.0,PlayStation4,84.0,7.3
ZEN Pinball 2: South Park: Super-Sweet Pinball,2014.0,PlayStation4,84.0,6.0
Trine 2: Director's Cut,2012.0,WiiU,84.0,8.0
Gorogoa,2017.0,PC,84.0,8.4
Battle Chasers: Nightwar,2017.0,XboxOne,84.0,6.5
80 Days (2015),2015.0,PC,84.0,6.9
Hearthstone: The Grand Tournament,2015.0,PC,84.0,4.1
Metro Redux,2014.0,PC,84.0,8.1
Grim Fandango Remastered,2015.0,PlayStationVita,84.0,7.2
Deus Ex: Mankind Divided,2016.0,PlayStation4,84.0,7.6
