Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Plants vs. Zombies: Garden Warfare 2,XboxOne,2016.0,0.26,0.15,0.0,0.04,0.44
FIFA 14,PC,2013.0,0.01,0.36,0.0,0.06,0.43
Trials Fusion,PlayStation4,2014.0,0.13,0.21,0.01,0.08,0.43
Overwatch,PC,2016.0,0.22,0.18,0.0,0.04,0.43
Rock Band 4,XboxOne,2015.0,0.35,0.04,0.0,0.04,0.43
Minecraft,WiiU,2016.0,0.18,0.09,0.14,0.03,0.43
Sleeping Dogs,PlayStation4,2014.0,0.16,0.2,0.0,0.07,0.43
Max Payne 3,PC,2012.0,0.15,0.22,0.0,0.06,0.43
Lego Batman 3: Beyond Gotham,XboxOne,2014.0,0.23,0.17,0.0,0.04,0.43
Call of Duty: Black Ops II,WiiU,2012.0,0.21,0.18,0.0,0.03,0.43
Skylanders: Trap Team,PlayStation4,2014.0,0.18,0.17,0.0,0.07,0.43
Ragnarok Odyssey,PlayStationVita,2012.0,0.22,0.01,0.16,0.03,0.42
Wolfenstein: The Old Blood,PlayStation4,2015.0,0.09,0.25,0.02,0.06,0.42
Disney Infinity 2.0: Marvel Super Heroes,XboxOne,2014.0,0.24,0.15,0.0,0.03,0.42
Animal Crossing: Amiibo Festival,WiiU,2015.0,0.19,0.11,0.09,0.03,0.42
Danganronpa: Trigger Happy Havoc,PlayStationVita,2013.0,0.14,0.07,0.15,0.06,0.41
LEGO Jurassic World,PlayStationVita,2015.0,0.09,0.23,0.0,0.09,0.41
