Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
New Interpretation Stranger of Sword City,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Broken Sword 5: The Serpent's Curse,XboxOne,2015.0,0.0,0.01,0.0,0.0,0.01
Shitsuji ga Aruji o Erabu Toki,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Phantasy Star Online 2 Episode 4: Deluxe Package,PlayStationVita,2017.0,0.0,0.0,0.01,0.0,0.01
Valentino Rossi: The Game,PC,2016.0,0.0,0.01,0.0,0.0,0.01
The Book of Unwritten Tales 2,WiiU,2016.0,0.0,0.01,0.0,0.0,0.01
Paragon,PlayStation4,2016.0,0.01,0.0,0.0,0.0,0.01
Kurogane Kaikitan,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Dokuro,PlayStationVita,2012.0,0.0,0.0,0.01,0.0,0.01
Chaos;Head Noah,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Farming Simulator 15 Expansion Pack,PC,2015.0,0.0,0.01,0.0,0.0,0.01
Assetto Corsa,XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
War for the Overworld,PC,2015.0,0.0,0.01,0.0,0.0,0.01
The Train Giant,PC,2012.0,0.0,0.01,0.0,0.0,0.01
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Legend of Kay Anniversary,WiiU,2015.0,0.0,0.01,0.0,0.0,0.01
Tetris Ultimate,PlayStationVita,2014.0,0.0,0.01,0.0,0.0,0.01
Durarara!! Relay,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Space Hulk,PlayStationVita,2015.0,0.0,0.01,0.0,0.0,0.01
Period Cube: Torikago no Amadeus,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Binary Star,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
MXGP 2,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Professional Farmer 2016,PlayStationVita,2015.0,0.0,0.01,0.0,0.0,0.01
Dragon Quest X: All in One Package,WiiU,2015.0,0.0,0.0,0.01,0.0,0.01
Chaos;Child,PlayStation4,2015.0,0.0,0.0,0.01,0.0,0.01
Cities: Skylines Snowfall,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Mario vs. Donkey Kong: Tipping Stars,WiiU,2015.0,0.0,0.0,0.01,0.0,0.01
Act of Aggression,PC,2015.0,0.0,0.01,0.0,0.0,0.01
Fallout Anthology,PC,2015.0,0.0,0.01,0.0,0.0,0.01
Dance with Devils,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
TrackMania Turbo,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Sakura-Sou no Pet na Kanojo,PlayStationVita,2013.0,0.0,0.0,0.01,0.0,0.01
The Technomancer,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Ratchet & Clank: Full Frontal Assault,PlayStationVita,2012.0,0.01,0.0,0.0,0.0,0.01
The Amazing Spider-Man 2 (2014),PC,2014.0,0.0,0.01,0.0,0.0,0.01
Goat Simulator,XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
Golden Time: Vivid Memories,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Kamigami no Asobi InFinite,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
Getsuei Gakuen: kou,PlayStationVita,2013.0,0.0,0.0,0.01,0.0,0.01
Brothers Conflict: Precious Baby,PlayStationVita,2017.0,0.0,0.0,0.01,0.0,0.01
Assassin's Creed Chronicles,XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
Rugby League Live 3,XboxOne,2015.0,0.0,0.01,0.0,0.0,0.01
Art Academy: Home Studio,WiiU,2015.0,0.0,0.0,0.01,0.0,0.01
Rugby World Cup 2015,PC,2015.0,0.0,0.01,0.0,0.0,0.01
Amnesia Later,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Total War Attila: Tyrants & Kings,PC,2016.0,0.0,0.01,0.0,0.0,0.01
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Irotoridori no Sekai: World's End Re-Birth,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
Rabbids Invasion: The Interactive TV Show,XboxOne,2014.0,0.0,0.01,0.0,0.0,0.01
DJ Max Technika Tune,PlayStationVita,2012.0,0.0,0.0,0.01,0.0,0.01
Sébastien Loeb Rally Evo,XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
Hitman (2016),XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
Transformers: Fall of Cybertron,PC,2012.0,0.01,0.0,0.0,0.0,0.01
Hakuoki: Reimeiroku - Omouhase Kara,PlayStationVita,2015.0,0.0,0.0,0.01,0.0,0.01
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PlayStation4,2016.0,0.0,0.0,0.01,0.0,0.01
Codename: Panzers Complete Collection,PC,2016.0,0.0,0.01,0.0,0.0,0.01
Dramatical Murder Re:code,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Hanasaku Manimani,PlayStationVita,2014.0,0.0,0.0,0.01,0.0,0.01
Mighty No. 9,XboxOne,2016.0,0.01,0.0,0.0,0.0,0.01
Teslagrad,PlayStationVita,2015.0,0.0,0.01,0.0,0.0,0.01
End of Nations,PC,2012.0,0.01,0.0,0.0,0.0,0.01
Resident Evil 4 HD,XboxOne,2016.0,0.01,0.0,0.0,0.0,0.01
Farming 2017 - The Simulation,PlayStation4,2016.0,0.0,0.01,0.0,0.0,0.01
Rugby Challenge 3,XboxOne,2016.0,0.0,0.01,0.0,0.0,0.01
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PlayStationVita,2016.0,0.0,0.0,0.01,0.0,0.01
